Title,Company,Project Type,Location,Contract Value,Date Published,Source URL,Description
Update On The Adjourned Meeting Of The Secured Creditors Of The Company In Connection With The Scheme Of Arrangement Between NCC Infrastructure Holdings Limited (Transferor Company) And NCC Limited (Transferee Company),NCC Limited,Infrastructure,Mumbai,Not specified,2025-04-16,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5b7800f7-f5f4-4298-808e-f136061fed50.pdf," 
NCC Limited 
CIN: L72200TG1990PLC011146 
NCC House, Madhapur, Hyderabad 500 081   T +91 40 2326 8888   F +91 40 23125555    ncclimited.com 
  Date: 16th April 2025 
   
National Stock Exchange of India Ltd  
Exchange Plaza, C-1, Block G  
Bandra – Kurla Complex 
Bandra (E) 
Mumbai  - 400051 
NSE:  NCC BSE Limited 
Phiroze Jeejeebhoy Towers  
Dalal Street,   
Fort  
Mumbai - 400001 
BSE: 500294  
 
Dear Sir/ Madam, 
 
Sub:   Outcome of the NCLT convened adjourned meeting of the Secured Creditors held 
today  
 
 
Ref:   Our letter dated 14th March 2025 – Notice of the adjourned meeting of the Secured 
Creditors 
 
 
This is in continuation to our letter cited above on the subject. We would like to inform that as 
per the directions of the Hon’ble National Company Law Tribunal, Hyderabad Bench (NCLT) 
the meeting of the Secured Creditors of the Company, was held on 30th January 2025 and was 
adjourned at the request of the participants thereat. The adjourned meeting of the Secured 
Cre"
Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,IRCON International Ltd,Manufacturing - Cement,India,Not specified,2025-04-11,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=72b3014f-971b-461c-8fda-6d1749a46e88.pdf," 
 
 IRCON/SECY/STEX/124                               11th April, 2025 
        
 
 
 
 
 
 
 
 
 
 
 
Ref:  Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) 
Regulations, 2015 
 
Sub:  Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015- Receipt of Letter 
of Award by Ircon International Limited from S&T (Construction), North Western 
Railway, Indian Railways 
 
Dear Sir/ Madam,  
 
Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) 
Regulations, 2015 [“SEBI (LODR) Regulations”], it is to inform that S&T (Construction), North 
Western Railway, Indian Railways  has awarded the work to Ircon International Limited for Design, 
Manufacture, Supply, Installation, Testing & Commissioning of Microprocessor based EI system 
(with inbuilt Block Instrument in EI) as per RDSO Spec at 20-stations of Ajmer Division along with 
Automatic Block Signalling and associated indoor & outdoor works of Signalling & Telecom 
Systems/gears."
Rail Vikas Nigam Limited Emerges As The Lowest Bidder (L1) From Southern Railway-Normal Course Of Business Of The Company.,Rail Vikas Nigam Ltd,Transportation - Railway,Delhi,Not specified,2025-04-11,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7e910912-4fc5-4b56-8fac-0bf7758a9b8a.pdf," 
 
Regd. Office: 1st Floor, August Kranti Bhawan, Bhikaji Cama P lace, R.K. Puram, New Delhi -110066  
Tel: +91- 11-26738299, Fax: +91- 11-26182957, Email: Info@rvnl.org, Web: www.rvnl.org  
CIN: L74999DL2003GOl118633  
 
RVNL/SECY/STEX/2025                       11.04.2025 
National Stock Exchange of India Ltd.  
Exchange Plaza,  
Plot no. C/1, G Block,  
Bandra -Kurla Complex,  
Bandra (E), Mumbai -  400 051. 
Scrip: RVNL  BSE Ltd.  
Department of Corporate Service,  
PhirozeJeejeebhoy Towers, Dalal Street,  
Mumbai - 400 001. 
Scrip: 542649
 
 
Sub: Rail Vikas Nigam Limited emerges as the Lowest Bidder (L1)  from  Southern Railway-  
Normal course of business of the Company.  
 
Dear Sir/Madam,  
 
It is hereby informed that Rail Vikas Nigam Limited emerges as the Lowest Bidder (L1) from 
Southern Railway for “Upgradation work of electric traction system from 1x25 kv to 2x25 kv 
traction system for Salem Jn. (SA) -Podanur Jn. (PTJ) & Irugur (IGU) -Coimbatore Jn. (CBE) -
Podanur Jn."
"Intimation Of Work Order Received By NBCC In Normal Course Of Business, Amounting Rs. 120.90 Crore (Approx.)",NBCC (India) Ltd,Order/Contract,Mumbai,Rs. 120.90 crore,2025-04-08,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=83adf51c-fffb-4005-9c99-160b19e74b65.pdf,"/g3
Ref. No.: NBCC/BS/2025-26                                                                         April 08, 2025 
नेशनल ːॉक एƛच Őज ऑफ़ इंिडया िलिमट ेड
एƛचŐज ɘाजा, 
ɘॉट नंबर सी/1, जी ɰॉक, 
बांūा‐कुलाŊ कॉ̱ɘेƛ 
बांūा (ई), मुंबई 400051 
एनएसई Ůतीक: एनबीसीसी/EQ  
National Stock Exchange of India Ltd. 
Exchange Plaza,  
Plot No C/1, G Block, 
Bandra –Kurla Complex 
Bandra (E), Mumbai-400051 बीएस
ईिलिमटेड
िफरोज जीजीभोय टॉवर, 
दलाल ːŌीट, 
मुंबई ‐400001 
 
İˌप कोड: 534309  
 
BSE Ltd. Phiroze Jeejeebhoy Tower, Dalal Street, Mumbai-400001  
 
Subject ( िवषय):‐   I n t i m a t i o n  o f  w o r k  o r d e r  r e c e i v e d  b y  N B C C  i n  n o r m a l  c o u r s e  o f  
business, amounting Rs. 120.90 Crore (Approx.) 
Sir, 
This is to inform that NBCC (India) Limited has recently been awarded the following work: 
S.NO. Name of Work Name of 
Client Approx. Value Rs in 
Cr (Excluding GST) 
1. Construction of Multistoried buildin g to 
accommodate six Courts including XI 
Additional District "
"Intimation Of Work Order Received By NBCC In Normal Course Of Business, Amounting Rs. 215.63 Crore (Approx.)",NBCC (India) Ltd,Order/Contract,Mumbai,Rs. 215.63 crore,2025-04-02,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ff1d185-8a47-4cf9-8500-dc295d707e36.pdf,"/g3
   Ref. No.: NBCC/BS/2025-26                                                                    April 02, 2025 
 
 
नेशनल ːॉक एƛचŐज ऑफ़ इंिडया िलिमटेड 
एƛचŐज ɘाजा, 
ɘॉट नंबर सी/1, जी ɰॉक, 
बांūा-कुलाŊ कॉ̱ɘेƛ 
बांūा (ई) 
मुंबई 400051 
एनएसई Ůतीक: एनबीसीसी /EQ 
 
National Stock Exchange of India Ltd. 
Exchange Plaza,  Plot No C/1, G Block, Bandra –Kurla Complex Bandra (E)  Mumbai-400051 बीएसई िलिमट ेड 
िफरोज जीजीभोय टॉवर, दलाल ː Ōीट, 
मुंबई ‐400001 
 
 
İˌप कोड: 534309 
 
 
BSE Ltd. 
Phiroze Jeejeebhoy Tower, 
Dalal Street , 
Mumbai-400001 
 
 
 
 
 
Subject ( िवषय) :-  Intimation of work order received by NBCC in normal course of business, 
amounting Rs. 215.63 Crore (Approx.) 
Sir, 
This is to inform that NBCC (India) Limited has recently been awarded the following work: 
S.NO. Name of Work Name of Client Approx. Value in 
Rs Cr  
(Excluding GST) 
A Comprehensive Project Management 
Consultancy Services for Planning, designing and development of infrastructure facilities and other r"
PRESS RELEASE - KPIL AWARDED NEW ORDERS OF APPROX. RS. 621 CRORES,Kalpataru Projects International Ltd,Order/Contract,Gujarat,Rs. 621 crore,2025-03-31,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6101490-3f9e-4277-b47d-cf601689ba4f.pdf,"  
 Corporate Office:  Kalpataru Synergy, 7th Floor, Opp. Grand Hyatt, Santacruz (E), Mumbai – 400055, India | Tel: 22 3064 2100/ 22 6885 1500 
Registered Office:  Plot No. 101, Part-III, G.I.D.C. Estate, Sector - 28, Gandhinagar - 382 028, Gujarat, India | Tel: +91 79 2321 4000 
Email:  info@kalpataruprojects.com | Website:  www.kalpataruprojects.com | CIN: L40100GJ1981PLC004281 KALPATARU PROJECTS INTERNATIONAL LIMITED 
(Formerly Kalpataru Power Transmission Limited)   
 
 
 
KPIL/24-25                        31
st March, 2025 
       
BSE Limited 
Corporate Relationship Department 
Phiroze Jeejeebhoy Towers 
Dalal Street, Fort 
Mumbai - 400 001 
 Scrip Code: 522287     
      National Stock Exchange of India Ltd . 
‘Exchange  Plaza’,  C-1,  
Block ‘G’,  Bandra-Kurla Complex 
Bandra (E) 
Mumbai – 400 051 
 Scrip Code: KPIL 
 
Sub.:  Press Release 
 
Respected Sir / Madam, 
 
We are enclosing herewith a copy of Press Release titled “ KPIL AWARDED NEW ORDERS OF  
~ ₹ 621 CRORES .” 
 
Ki"
Order(S) Received During March 2025,NCC Limited,Order/Contract,Mumbai,"Rs. 5,773 crore",2025-03-31,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3ffb4def-2860-41f5-b449-207d7b6964c2.pdf," 
NCC Limited 
CIL: L72200TG1990PLC011146 
NCC House, Madhapur, Hyderabad 500 081   T +91 40 2326 8888   F +91 40 23125555    ncclimited.com 
Ref. No.: NCCL/Monthly Order/2025 
Date   : 31st March 2025 
   
National Stock Exchange of India Ltd  
Exchange Plaza, C-1, Block G,  
Bandra – Kurla Complex, Bandra (E), 
Mumbai  - 400 051 
 
Symbol:  NCC  BSE Limited 
Phiroze Jeejeebhoy Towers,  
Dalal Street, Fort,  
Mumbai – 400 001 
 
Code: 500294 
   
 
Dear Sir, 
 
Sub: Order(s) received during March 2025 
 
 
This is in continuation to our letters dated 19th, 22nd and 25th March 2025 regarding disclosure 
on receipt of Major Orders by the Company.  
 
In addition to these Major Orders, the Company has received other orders totaling Rs. 5,773 
Crore (excl. GST) in the month of March 2025. Out of these orders Rs. 2,686 Crore relates to 
the Transportation Division, Rs. 2,139 Crore relates to the Building Division, and Rs. 948 Crore 
relates to the Water & Environment Division of the Compan"
Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,IRCON International Ltd,Manufacturing - Cement,India,Not specified,2025-03-28,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=285fab2c-9176-4ecd-b451-1f2fe18dfd56.pdf," 
 
  IRCON/SECY/ STEX/124                                  28th March, 2025 
        
 
 
 
 
 
 
 
 
 
 
 
Sub:  Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015-  Letter of Award to Ircon 
International Limited through its JV i.e. IRCON-SSNR JV for the project floated by Rail Vikas 
Nigam Limited  
 
Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 
[“SEBI (LODR) Regulations”], it is to inform that Ircon International Limited (IRCON) through its Joint 
Venture with M/s SSNR Projects Private Limited {i.e. IRCON- 70% and SSNR-30% (IRCON-SSNR JV)} 
has been awarded the Letter of Award (LOA) for the project floated by Rail Vikas Nigam Limited. The 
details of the work are as follows: 
 
Particulars   Details 
Name of the entity awarding order(s)/ 
contract(s); Rail Vikas Nigam Limited 
Significant terms and conditions of 
order(s)/contract(s) awarded in brief; Construction of Tunnel T1 from Chainage Km 33+160 To 
Km 34+"
"Intimation Of Work Order Received By NBCC In Normal Course Of 
Business, Amounting Rs. 82.08 Crore (Approx.)",NBCC (India) Ltd,Order/Contract,Delhi,Rs. 82.08 crore,2025-03-28,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=43b7200b-20ae-4482-88bc-7dcbdbd36ba0.pdf,"/g3
     Ref. No.: NBCC/BS/2024-25                                                                 March 28, 2025 
नेशनल ːॉक एƛचŐज ऑफ़ इंिडया िलिमटेड 
एƛचŐज ɘाजा, 
ɘॉट नंबर सी/1, जी ɰॉक, 
बांūा-कुलाŊ कॉ̱ɘेƛ 
बांūा (ई) 
मुंबई 400051 
एनएसई Ůतीक: एनबीसीसी /EQ 
 
National Stock Exchange of India Ltd. 
Exchange Plaza,  
Plot No C/1, G Block, 
Bandra –Kurla Complex 
Bandra (E)  
Mumbai-400051 
 बीएसई िलिमट ेड
िफरोज जीजीभोय टॉवर, दलाल ː Ōीट, 
मुंबई ‐400001 
 
 
 İˌप कोड: 534309 
 
 
BSE Ltd. 
Phiroze Jeejeebhoy Tower, Dalal Street, Mumbai-400001 
 
 
Subject ( िवषय) :- Intimation of work order received by NBCC in normal course of 
business, amounting Rs. 82.08 Crore (Approx.) 
Sir, 
This is to inform that NBCC (India) Limited has recently been awarded the following work: 
S.NO. Name of Work Name of Client Approx. Value 
Rs in Cr 
(Exluding GST)  
1. Renovation /Interior works of 
Lokpal Premises at Vasant 
Kunj, New Delhi 
 Lokpal of India 82.08
 Total 82.08
      
The aforesaid work is in th"
Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,NCC Limited,Manufacturing - Cement,Madhya Pradesh,Not specified,2025-03-25,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e32ab03-ff12-4521-8119-62f9aee8e721.pdf," 
NCC Limited 
CIL: L72200TG1990PLC011146 
NCC House, Madhapur, Hyderabad 500 081   T +91 40 2326 8888   F +91 40 23125555    ncclimited.com 
Ref. No.: NCCL/ Regulation 30/2024 
Date      : 25th March 2025 
   
National Stock Exchange of India Ltd  
Exchange Plaza, C-1, Block G,  
Bandra – Kurla Complex, Bandra (E), 
Mumbai  - 400 051 
 
Symbol:  NCC  BSE Limited 
Phiroze Jeejeebhoy Towers,  
Dalal Street, Fort,  
Mumbai – 400 001 
 
Code: 500294 
   
 
Dear Sir, 
 
Sub: Disclosure regarding receipt of Major Orders  
 
 
Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) 
Regulations, 2015, we are pleased to inform that, the Company has received 2 (Two) Advance 
Work Orders dated 25th March 2025 from Bharat Sanchar Nigam Limited (BSNL) for Design, 
Supply, Construction, Installation, Upgradation, Operation and Maintenance of middle mile 
network of BharatNet, in Uttarakhand Telecom Circle (against Package No.- 05)  and 
Madhya Pradesh, DNH & DD Tele"
